Bank Name,Acquiring Institution,Numbers,date
New Frontier Bank,No Acquirer,,4/10/2009
Cape Fear Bank,First Federal Savings and Loan Association,,4/10/2009
Omni National Bank,No Acquirer,,3/27/2009
"TeamBank, NA",Great Southern Bank,,3/20/2009
Colorado National Bank,Herring Bank,,3/20/2009
FirstCity Bank,No Acquirer,,3/20/2009
Freedom Bank of Georgia,Northeast Georgia Bank,,3/6/2009
Security Savings Bank,Bank of Nevada,,2/27/2009
Heritage Community Bank,"MB Financial Bank, N.A.",,2/27/2009
Silver Falls Bank,Citizens Bank,,2/20/2009
Pinnacle Bank of Oregon,Washington Trust Bank of Spokane,,2/13/2009
Corn Belt Bank & Trust Co.,The Carlinville National Bank,,2/13/2009
Riverside Bank of the Gulf Coast,TIB Bank,,2/13/2009
Sherman County Bank,Heritage Bank,,2/13/2009
County Bank,Westamerica Bank,,2/6/2009
Alliance Bank,California Bank & Trust,,2/6/2009
FirstBank Financial Services,Regions Bank,,2/6/2009
Ocala National Bank,"CenterState Bank of Florida, N.A.",,1/30/2009
Suburban FSB,Bank of Essex,,1/30/2009
MagnetBank,No Acquirer,,1/30/2009
1st Centennial Bank,First California Bank,,1/23/2009
Bank of Clark County,Umpqua Bank,,1/16/2009
National Bank of Commerce,Republic Bank of Chicago,,1/16/2009
Sanderson State Bank,The Pecos County State Bank,,12/12/2008
Haven Trust Bank,"Branch Banking & Trust Company, (BB&T)",,12/12/2008
First Georgia Community Bank,United Bank,,12/5/2008
PFF Bank & Trust,"U.S. Bank, N.A.",,11/21/2008
Downey Savings & Loan,"U.S. Bank, N.A.",,11/21/2008
Community Bank,Bank of Essex,,11/21/2008
Security Pacific Bank,Pacific Western Bank,,11/7/2008
"Franklin Bank, SSB",Prosperity Bank,,11/7/2008
Freedom Bank,Fifth Third Bank,,10/31/2008
Alpha Bank & Trust,"Stearns Bank, N.A.",,10/24/2008
Meridian Bank,National Bank,,10/10/2008
Main Street Bank,Monroe Bank & Trust,,10/10/2008
"Washington Mutual Bank, (Including its subsidiary Washington Mutual Bank FSB)",JP Morgan Chase Bank,,9/25/2008
Ameribank,"The Citizens Savings Bank, Pioneer Community Bank, Inc.",,9/19/2008
Silver State Bank,Nevada State Bank,,9/5/2008
Integrity Bank,Regions Bank,,8/29/2008
Columbian Bank & Trust,Citizens Bank & Trust,,8/22/2008
First Priority Bank,SunTrust Bank,,8/1/2008
"First Heritage Bank, NA",Mutual of Omaha Bank,,7/25/2008
First National Bank of Nevada,Mutual of Omaha Bank,,7/25/2008
IndyMac Bank,"OneWest Bank, FSB",,7/11/2008
"First Integrity Bank, NA",First International Bank and Trust,,5/30/2008
"ANB Financial, NA",Pulaski Bank and Trust Company,,5/9/2008
Hume Bank,Security Bank,,3/7/2008
Douglass National Bank,Liberty Bank and Trust Company,,1/25/2008
Miami Valley Bank,The Citizens Banking Company,,10/4/2007
NetBank,ING DIRECT,,9/28/2007
Metropolitan Savings Bank,Allegheny Valley Bank of Pittsburgh,,2/2/2007
Bank of Ephraim,Far West Bank,,6/25/2004
Reliance Bank,Union State Bank,,3/19/2004
Guaranty National Bank of Tallahassee,Hancock Bank of Florida,,3/12/2004
Dollar Savings Bank,No Acquirer,,2/14/2004
Pulaski Savings Bank,Earthstar Bank,,11/14/2003
First National Bank of Blanchardville,The Park Bank,,5/9/2003
Southern Pacific Bank,Beal Bank,,2/7/2003
Farmers Bank of Cheneyville,Sabine State Bank & Trust,,12/17/2002
Bank of Alamo,No Acquirer,,11/8/2002
AmTrade International Bank,No Acquirer,,9/30/2002
Universal Federal Savings Bank,Chicago Community Bank,,6/27/2002
Connecticut Bank of Commerce,Hudson United Bank,,6/26/2002
New Century Bank,No Acquirer,,3/28/2002
Net 1st National Bank,Bank Leumi USA,,3/1/2002
"NextBank, NA",No Acquirer,,2/7/2002
Oakwood Deposit Bank Co.,The State Bank & Trust Company,,2/1/2002
Bank of Sierra Blanca,The Security State Bank of Pecos,,1/18/2002
"Hamilton Bank, NA",Israel Discount Bank of New York,,1/11/2002
Sinclair National Bank,Delta Trust & Bank,,9/7/2001
"Superior Bank, FSB","Superior Federal, FSB",,7/27/2001
Malta National Bank,North Valley Bank,,5/3/2001
First Alliance Bank & Trust Co.,Southern New Hampshire Bank & Trust,,2/2/2001
National State Bank of Metropolis,Banterra Bank of Marion,,12/14/2000
Bank of Honolulu,Bank of the Orient,,10/13/2000
